type,key,current (do not edit),new value (edit here),what it controls
text,lead-1,"Badger Supports is a peer-led mental health organization for UW–Madison students, offering support groups, workshops, and community events. Its communications make that support easy to find and act on.",,Section 1 intro paragraph
text,lead-2,The logo has two locked parts: the <b>mark</b> (the hand with the heart and lines) and the <b>wordmark</b>. They are always used together and scaled as one unit.,,Section 2 intro paragraph
text,lead-3,"The palette is a primary red, a cream ground, charcoal text, and a set of program colors. Each program and topic is assigned a color so material is identifiable at a glance.",,Section 3 intro paragraph
text,lead-4,The type system uses two typefaces: More Sugar for headlines and Montserrat for all other text. Avoid a third typeface.,,Section 4 intro paragraph
text,lead-5,"Layout follows three principles in every format: lead with the essential information, establish a clear visual order, and allow adequate spacing.",,Section 5 intro paragraph
text,lead-6,"Badger Supports is photo-first: real student photos lead most pieces, with @irasutoya illustrations and the Barry mascot in support. Keep one style per piece.",,Section 6 intro paragraph
text,lead-7,"The voice is warm, plain, and peer-to-peer. Messages lead with the reader's benefit and stay brief.",,Section 7 intro paragraph
text,lead-8,Material is designed to be readable and usable by everyone. Accessibility also broadens the audience a message reaches.,,Section 8 intro paragraph
text,lead-9,"Badger Supports frequently partners with other organizations, including University Health Services, the Tenant Resource Center, and EBNS.",,Section 9 intro paragraph
text,lead-10,"Each format applies the guidelines above. The entries below give the dimensions, content order, and a real example for the pieces produced most often. Screen dimensions are in pixels; print dimensions in inches.",,Section 10 intro paragraph
text,lead-11,Recurring moves that give Badger Supports material its look. Each one applies the guidelines from the earlier sections.,,Section 11 intro paragraph
text,lead-12,Definitions for the terms used in this guide.,,Section 12 intro paragraph
image,LOGO,images/LOGO.png,,Image · LOGO
image,REV,images/REV.png,,Image · REV
image,MARK_HAND,images/MARK_HAND.png,,Image · MARK_HAND
image,AVATAR,images/AVATAR.png,,Image · AVATAR
image,CLEAR,images/CLEAR.png,,Image · CLEAR
image,DO,images/DO.png,,Image · DO
image,D_STRETCH,images/D_STRETCH.png,,Image · D_STRETCH
image,D_RECOLOR,images/D_RECOLOR.png,,Image · D_RECOLOR
image,D_HEART,images/D_HEART.png,,Image · D_HEART
image,D_ROTATE,images/D_ROTATE.png,,Image · D_ROTATE
image,D_SHADOW,images/D_SHADOW.png,,Image · D_SHADOW
image,D_BUSY,images/D_BUSY.png,,Image · D_BUSY
image,BRANDKIT,images/BRANDKIT.png,,Image · BRANDKIT
image,T_PEER,images/T_PEER.jpg,,Image · T_PEER
image,T_WORK,images/T_WORK.jpg,,Image · T_WORK
image,T_CRAFT,images/T_CRAFT.jpg,,Image · T_CRAFT
image,T_RES,images/T_RES.jpg,,Image · T_RES
image,T_ALUM,images/T_ALUM.jpg,,Image · T_ALUM
image,T_LEAD,images/T_LEAD.jpg,,Image · T_LEAD
image,WW1,images/WW1.jpg,,Image · WW1
image,UP1,images/UP1.jpg,,Image · UP1
image,FLYER1,images/FLYER1.jpg,,Image · FLYER1
image,EBNS,images/EBNS.jpg,,Image · EBNS
image,OFFICE,images/OFFICE.jpg,,Image · OFFICE
image,CC,images/CC.jpg,,Image · CC
image,RECAP,images/RECAP.jpg,,Image · RECAP
image,VOICE,images/VOICE.jpg,,Image · VOICE
image,WORK2,images/WORK2.jpg,,Image · WORK2
image,SAFE,images/SAFE.png,,Image · SAFE
image,READ,images/READ.png,,Image · READ
image,FLYERD,images/FLYERD.png,,Image · FLYERD
image,EMAIL,images/EMAIL.jpg,,Image · EMAIL
image,BIZ,images/BIZ.jpg,,Image · BIZ
image,TOTE,images/TOTE.jpg,,Image · TOTE
image,STICKER,images/STICKER.jpg,,Image · STICKER
image,ASM,images/ASM.jpg,,Image · ASM
image,ALUMNI,images/ALUMNI.jpg,,Image · ALUMNI
image,FLYER_BW,images/FLYER_BW.jpg,,Image · FLYER_BW
image,WEEK,images/WEEK.jpg,,Image · WEEK
image,QR_DO,images/QR_DO.png,,Image · QR_DO
image,QR_DONT,images/QR_DONT.png,,Image · QR_DONT
image,ACC_GOOD,images/ACC_GOOD.png,,Image · ACC_GOOD
image,ACC_BAD,images/ACC_BAD.png,,Image · ACC_BAD
image,MEME,images/MEME.jpg,,Image · MEME
image,DOGS,images/DOGS.jpg,,Image · DOGS
image,FLOWERS,images/FLOWERS.jpg,,Image · FLOWERS
